nfl_id,total_attention,avg_attention,max_attention,std_attention,median_attention,play_count,frame_count,high_attention_pct
46137,241.6233076788485,0.4165919097911181,1.0,0.2989830483890889,0.33315812051296234,116,580,80.17241379310344
52546,283.94753666594625,0.454316058665514,1.0,0.28239255068077734,0.4155455231666565,125,625,84.48
44888,318.01185841299593,0.44477182994824604,1.0,0.3166148243753631,0.3469105660915375,143,715,80.0
53953,248.6176203377545,0.4286510695478526,1.0,0.2703213760216253,0.3979191333055496,116,580,83.44827586206897
54653,61.92024756222963,0.47630959663253564,1.0,0.30221065184049456,0.3825484812259674,26,130,87.6923076923077
55910,271.30112976022065,0.4049270593436129,1.0,0.2887433840075902,0.3180110603570938,134,670,79.25373134328359
47882,125.21711610537022,0.33842463812262225,1.0,0.22869031984958663,0.27272552251815796,74,370,80.27027027027027
53487,120.1534785144031,0.490422361283278,1.0,0.30044677490739613,0.4067853093147278,49,245,86.53061224489797
52471,101.58433395251632,0.39836993706869145,1.0,0.2715055403611581,0.3291313648223877,51,255,82.35294117647058
54527,84.85113298892975,0.27820043602927785,0.9577779173851013,0.20151376961305267,0.21866506338119507,61,305,71.14754098360656
54568,76.09209766238928,0.5247730873268226,1.0,0.3348454421590799,0.40651756525039673,29,145,87.58620689655172
44906,328.21745930053294,0.3978393446067066,1.0,0.29346260342058084,0.3250980079174042,165,825,75.39393939393939
47888,39.34087389707565,0.31472699117660524,0.69063401222229,0.17236409150499837,0.30628252029418945,25,125,79.2
54562,192.41100538894534,0.31542787768679564,1.0,0.20575159129218387,0.28677406907081604,122,610,76.22950819672131
55882,146.50022047013044,0.3756415909490524,1.0,0.252311683548343,0.3216123878955841,78,390,80.0
54486,240.74759493395686,0.385196151894331,1.0,0.27393815464203425,0.3175487220287323,125,625,75.68
52585,4.967576682567596,0.49675766825675965,0.6220000386238098,0.07592524004094334,0.49484074115753174,2,10,100.0
54511,2.8140811771154404,0.28140811771154406,0.4809921979904175,0.18232860581209143,0.27902963384985924,2,10,50.0
47913,134.57364389300346,0.44857881297667823,1.0,0.28700249382545046,0.38342776894569397,60,300,89.66666666666666
55895,7.170165546238422,0.35850827731192114,0.7110496759414673,0.20662663255834982,0.35869355499744415,4,20,75.0
54600,100.41869267076254,0.45644860304892065,1.0,0.2915856769353121,0.3947727680206299,44,220,81.81818181818183
44834,10.049376547336578,0.502468827366829,0.9253724813461304,0.23517988228756814,0.47418510913848877,4,20,100.0
54495,26.134116530418396,0.4751657550985163,1.0,0.2638944700232797,0.4179812967777252,11,55,94.54545454545455
46123,218.00872136093676,0.34332082104084527,1.0,0.2140957605057864,0.3076883852481842,127,635,82.83464566929133
48027,241.02954491600394,0.4505225138616896,1.0,0.29920314024620903,0.36122554540634155,107,535,85.60747663551402
52272,167.94248772226274,0.3860746844189948,1.0,0.27842409378597044,0.3329366147518158,87,435,75.86206896551724
52424,297.460776027292,0.4189588394750592,1.0,0.2810769580949099,0.3693504333496094,142,710,79.29577464788733
53469,203.55148668400943,0.4071029733680189,1.0,0.2705725322747073,0.3562798351049423,100,500,81.0
54523,47.24160431697965,0.497280045441891,1.0,0.30623332575972756,0.4477330446243286,19,95,88.42105263157895
42368,12.328014448285103,0.6164007224142551,1.0,0.3082540526036496,0.6042416840791702,4,20,100.0
52472,64.75315583124757,0.3700180333214147,1.0,0.2857071473428353,0.2519752085208893,35,175,78.85714285714286
43350,112.64567146077752,0.32184477560222147,1.0,0.23684445936028514,0.24482174962759018,70,350,74.57142857142857
46527,208.59130771644413,0.41718261543288826,1.0,0.24946459229930254,0.36419878900051117,100,500,89.4
53437,109.59755243547261,0.5218931068355839,1.0,0.29946451863224843,0.4969375431537628,42,210,88.09523809523809
46215,50.73272123001516,0.3757979350371493,1.0,0.2805182508874582,0.27809640765190125,27,135,71.85185185185186
42816,184.88094200007617,0.4454962457833161,1.0,0.3033888613202339,0.3765239715576172,83,415,81.92771084337349
46124,214.78264576382935,0.42531216982936504,1.0,0.28247557434685056,0.38393715023994446,101,505,78.41584158415841
54503,47.03706070035696,0.522634007781744,1.0,0.2935120556725048,0.4496886730194092,18,90,88.88888888888889
45004,146.51427123881876,0.35735188107028965,1.0,0.2241540985611991,0.32590560615062714,82,410,83.90243902439025
52417,95.03492264822125,0.4223774339920945,1.0,0.2758670755946325,0.36822158098220825,45,225,83.55555555555556
52542,31.119832403957844,0.3111983240395784,1.0,0.23804394545106178,0.24128638207912445,20,100,73.0
42393,160.56822650507092,0.4460228514029748,1.0,0.3150387798348778,0.41128018498420715,72,360,73.33333333333333
54468,150.2028515394777,0.37087123836908076,1.0,0.23949451954548936,0.3069060742855072,81,405,83.20987654320989
54502,163.10717831738293,0.31981799670075084,1.0,0.1969528166480044,0.2862677127122879,102,510,79.01960784313725
56032,149.52527152746916,0.42119794796470184,1.0,0.2851904920850758,0.362751305103302,71,355,87.60563380281691
42441,232.35254635475576,0.40409138496479263,1.0,0.2640847683119466,0.36830568313598633,115,575,80.0
54479,228.82882608659565,0.37207939201072465,1.0,0.2645871932720257,0.29614561796188354,123,615,80.65040650406505
46672,115.46809484064579,0.5131915326250924,1.0,0.28588267134689593,0.4783824682235718,45,225,87.55555555555556
44854,124.32980060949922,0.29254070731646875,1.0,0.19956392160476327,0.2491326481103897,85,425,71.05882352941177
46077,330.2333436962217,0.41801689075471105,1.0,0.2701533337590647,0.35303035378456116,158,790,85.82278481012658
52627,181.10883151181042,0.304384590776152,1.0,0.21656079779368964,0.24905814230442047,119,595,69.41176470588235
